Category,Sub-Category,Median Income Estimate (dollars),Margin of error (±),Number (thousands)
Type of Household,Married-couple,"101,517",850,"61,454"
Type of Household,"Female householder, no spouse present","49,214","1,444","15,490"
Type of Household,"Male householder, no spouse present","67,304","2,317","6,963"
Type of Household,Female householder,"35,574",685,"24,244"
Type of Household,Male householder,"47,259","1,227","21,781"
Race and Ethnicity,White,"71,231",736,"101,582"
Race and Ethnicity,Black,"45,870","1,268","17,358"
Race and Ethnicity,Asian,"94,903","3,794","6,987"
Race and Ethnicity,Hispanic (any race),"55,321","1,183","18,349"
Age of Householder,15 to 24 years,"46,886","1,540","5,485"
Age of Householder,25 to 34 years,"71,566","1,154","20,654"
Age of Householder,35 to 44 years,"85,694","1,712","22,105"
Age of Householder,45 to 54 years,"90,359","1,958","21,663"
Age of Householder,55 to 64 years,"74,270","2,105","24,336"
Age of Householder,65 years and older,"46,360",934,"35,688"
